title,completedOn
The Color of Magic (12/23/18),
A Christmas Carol (12/23/18),
A Mind at Play (12/19/18),
Domain Modeling Made Functional (10/14/18),
The Orchid Thief (8/31/18),
Burglers Can't Be Choosers (7/8/18),
Mountains Beyond Mountains (7/6/18),
A Walk in the Woods (6/30/18),
Beta Ball (6/6/18),
Born to Run (5/28/18),
Unbroken (5/14/18),
10% Happier (5/6/18),
Noir (4/25/18),
The Spider Network, (4/7/18),
The Amazing Mrs. Pollifax (4/6/18),
The Captains Class (2/28/18),
Night (2/21/18),
Murder on the Orient Express (2/9/18),
The Undoing Project (1/26/18),
Barking At The Choir (1/1/18),
