title,completedOn
Man's Search for Meaning (12/18/21),
A Christmas Carol (12/13/21),
Tribe (11/29/21),
Skunkworks (11/28/21),
Station Eleven (8/29/21),
Grokking Simplicity (8/10/21),
Magic for Liars (7/24/21),
Project Hail Mary (7/11/21),
Living Clojure (7/9/21),
Team of Teams (6/20/21),
James Joyce: Portrait of a Dubliner (5/28/21),
Lethal White (5/11/21),
The Immortal Irishman (5/4/21)
The Bomber Mafia (5/3/21)
Masie Dobbs (4/11/21),
A Ride of a Lifetime (1/2/21),
Artificial Condition (12/26/20),
A Christmas Carol (12/10/20),
All Systems Red (12/9/20),
Hit Refresh (11/21/20),
Always Day One (10/27/20),
The Man Who Knew the Way to the Moon (10/13/20),
Shakespeare for Squirrels (9/22/20),
Sea Stories (8/29/20)),
Make Your Bed (8/28/20),
Rockaway: Surfing Headlong into a New Life (7/26/20),
A Game of Birds and Wolves (6/21/20),
Candide (6/7/20),
The Splendid and the Vile (5/11/20),
Meddling Kids (2/8/20),
Mycroft Holmes (1/18/20),
The Unicorn Project (1/14/20),
My Stroke of Insight (12/29/19),
The Many Lives of Michael Bloomberg (12/14/19),
A Christmas Carol (12/13/19),
The Island at the Center of the World (12/6/19),
An Elegant Defense (11/19/19),
Franklin and Winston (9/26/19),
Churchill's Ministry of Ungentlemanly Warfare (9/14/19),
The Snowman (9/8/19),
Manhunt (9/6/19),
We Die Alone (8/23/19),
In the Garden of Beasts (8/7/19),
Decider (8/3/19),
Between Silk and Cyanide (7/27/19),
The Martian (7/6/19),
Spark, the Revolutionary New Science of Exercise and the Brain (5/30/19),
Work Rules! (3/20/19),
The Great Gatsby (3/9/19),
Farsighted (2/26/19),
Career of Evil (1/30/19),
Creative Selection, (1/11/19),
Genius Foods (1/7/19),
The Color of Magic (12/23/18),
A Christmas Carol (12/23/18),
A Mind at Play (12/19/18),
Domain Modeling Made Functional (10/14/18),
The Orchid Thief (8/31/18),
Burglers Can't Be Choosers (7/8/18),
Mountains Beyond Mountains (7/6/18),
A Walk in the Woods (6/30/18),
